R: 9, G: 90, B: 208
R: 90, G: 206, B: 90
R: 199, G: 90, B: 141
R: 90, G: 138, B: 90
R: 154, G: 90, B: 138
R: 90, G: 128, B: 90
R: 128, G: 90, B: 128
R: 90, G: 141, B: 90
R: 201, G: 90, B: 200
R: 90, G: 196, B: 90
R: 210, G: 90, B: 128
R: 90, G: 128, B: 90
R: 129, G: 90, B: 232
R: 90, G: 128, B: 90
R: 128, G: 90, B: 129
R: 90, G: 198, B: 90
R: 136, G: 90, B: 131
R: 90, G: 128, B: 90
R: 128, G: 90, B: 128
R: 90, G: 240, B: 90
R: 29, G: 90, B: 117
R: 90, G: 33, B: 90
R: 128, G: 90, B: 128
R: 90, G: 130, B: 90
R: 29, G: 90, B: 208
R: 90, G: 204, B: 90
R: 212, G: 90, B: 197
R: 90, G: 110, B: 90
R: 110, G: 90, B: 110
R: 90, G: 139, B: 90
R: 147, G: 90, B: 170
R: 90, G: 141, B: 90
R: 145, G: 90, B: 158
R: 90, G: 126, B: 90
R: 132, G: 90, B: 164
R: 90, G: 132, B: 90
R: 135, G: 90, B: 143
R: 90, G: 135, B: 90
R: 140, G: 90, B: 154
R: 90, G: 136, B: 90
R: 144, G: 90, B: 163
R: 90, G: 127, B: 90
R: 127, G: 90, B: 127
R: 90, G: 129, B: 90
R: 130, G: 90, B: 134
R: 90, G: 134, B: 90
R: 138, G: 90, B: 150
R: 90, G: 141, B: 90
R: 151, G: 90, B: 179
R: 90, G: 126, B: 90
R: 131, G: 90, B: 153
R: 90, G: 116, B: 90
R: 129, G: 90, B: 137
R: 90, G: 124, B: 90
R: 130, G: 90, B: 144
R: 90, G: 142, B: 90
R: 129, G: 90, B: 136
R: 90, G: 165, B: 90
R: 130, G: 90, B: 142
R: 90, G: 109, B: 90
R: 130, G: 90, B: 141
R: 90, G: 125, B: 90
R: 120, G: 90, B: 120
R: 90, G: 118, B: 90
R: 134, G: 90, B: 164
R: 90, G: 153, B: 90
R: 129, G: 90, B: 138
R: 90, G: 116, B: 90
R: 132, G: 90, B: 152
R: 90, G: 140, B: 90
R: 154, G: 90, B: 195
R: 90, G: 180, B: 90
R: 130, G: 90, B: 141
R: 90, G: 143, B: 90
R: 159, G: 90, B: 208
R: 90, G: 125, B: 90
R: 133, G: 90, B: 177
R: 90, G: 149, B: 90
R: 159, G: 90, B: 185
R: 90, G: 126, B: 90
R: 153, G: 90, B: 192
R: 90, G: 107, B: 90
R: 135, G: 90, B: 159
R: 90, G: 126, B: 90
R: 148, G: 90, B: 208
R: 90, G: 126, B: 90
R: 147, G: 90, B: 180
R: 90, G: 197, B: 90
R: 131, G: 90, B: 144
R: 90, G: 125, B: 90
R: 143, G: 90, B: 170
R: 90, G: 115, B: 90
R: 115, G: 90, B: 114
R: 90, G: 149, B: 90
R: 154, G: 90, B: 167
R: 90, G: 82, B: 90
R: 131, G: 90, B: 148
R: 90, G: 145, B: 90
R: 165, G: 90, B: 226
R: 90, G: 37, B: 90
R: 131, G: 90, B: 146
R: 90, G: 125, B: 90
R: 138, G: 90, B: 191
R: 90, G: 101, B: 90
R: 130, G: 90, B: 139
R: 90, G: 49, B: 90
R: 130, G: 90, B: 142
R: 90, G: 95, B: 90
R: 132, G: 90, B: 156
R: 90, G: 158, B: 90
R: 168, G: 90, B: 196
R: 90, G: 60, B: 90
R: 131, G: 90, B: 149
R: 90, G: 71, B: 90
R: 129, G: 90, B: 138
R: 90, G: 125, B: 90
R: 169, G: 90, B: 199
R: 90, G: 126, B: 90
R: 174, G: 90, B: 214
R: 90, G: 148, B: 90
R: 172, G: 90, B: 246
R: 90, G: 91, B: 90
R: 129, G: 90, B: 138
R: 90, G: 212, B: 90
R: 131, G: 90, B: 145
R: 90, G: 159, B: 90
R: 179, G: 90, B: 233
R: 90, G: 24, B: 90
R: 131, G: 90, B: 146
R: 90, G: 125, B: 90
R: 128, G: 90, B: 132
R: 90, G: 155, B: 90
R: 169, G: 90, B: 214
R: 90, G: 91, B: 90
R: 141, G: 90, B: 176
R: 90, G: 253, B: 90
R: 131, G: 90, B: 146
R: 90, G: 125, B: 90
R: 189, G: 90, B: 228
R: 90, G: 181, B: 90
R: 173, G: 90, B: 185
R: 90, G: 125, B: 90
R: 206, G: 90, B: 239
R: 90, G: 51, B: 90
R: 144, G: 90, B: 174
R: 90, G: 126, B: 90
R: 157, G: 90, B: 229
R: 90, G: 113, B: 90
R: 118, G: 90, B: 119
R: 90, G: 226, B: 90
R: 132, G: 90, B: 146
R: 90, G: 125, B: 90
R: 109, G: 90, B: 112
R: 90, G: 193, B: 90
R: 236, G: 90, B: 74
R: 90, G: 72, B: 90
R: 135, G: 90, B: 164
R: 90, G: 125, B: 90
R: 255, G: 90, B: 29
R: 90, G: 173, B: 90
R: 185, G: 90, B: 209
R: 90, G: 11, B: 90
R: 130, G: 90, B: 142
