Value, Frequency
0, 187
1, 196
2, 181
3, 205
4, 160
5, 170
6, 169
7, 196
8, 151
9, 194
10, 176
11, 195
12, 175
13, 187
14, 192
15, 194
16, 203
17, 193
18, 158
19, 192
20, 159
21, 185
22, 176
23, 217
24, 178
25, 188
26, 223
27, 202
28, 184
29, 195
30, 207
31, 161
32, 236
33, 195
34, 198
35, 246
36, 171
37, 203
38, 190
39, 198
40, 165
41, 183
42, 153
43, 195
44, 177
45, 217
46, 167
47, 192
48, 174
49, 169
50, 183
51, 210
52, 187
53, 205
54, 182
55, 220
56, 185
57, 179
58, 200
59, 224
60, 165
61, 217
62, 168
63, 183
64, 161
65, 208
66, 162
67, 203
68, 161
69, 188
70, 170
71, 197
72, 167
73, 205
74, 187
75, 217
76, 180
77, 223
78, 209
79, 194
80, 241
81, 197
82, 222
83, 184
84, 214
85, 209
86, 170
87, 212
88, 174
89, 214
90, 49187
91, 208
92, 197
93, 228
94, 196
95, 182
96, 193
97, 219
98, 171
99, 217
100, 186
101, 206
102, 182
103, 223
104, 202
105, 206
106, 195
107, 218
108, 170
109, 216
110, 197
111, 188
112, 189
113, 189
114, 146
115, 181
116, 236
117, 158
118, 198
119, 189
120, 169
121, 201
122, 171
123, 198
124, 184
125, 195
126, 215
127, 196
128, 260
129, 195
130, 181
131, 212
132, 177
133, 170
134, 190
135, 235
136, 168
137, 169
138, 182
139, 205
140, 193
141, 216
142, 196
143, 193
144, 192
145, 153
146, 198
147, 177
148, 182
149, 170
150, 192
151, 182
152, 183
153, 170
154, 231
155, 208
156, 225
157, 214
158, 209
159, 213
160, 184
161, 167
162, 166
163, 180
164, 176
165, 189
166, 183
167, 162
168, 177
169, 195
170, 173
171, 182
172, 211
173, 187
174, 218
175, 178
176, 174
177, 191
178, 192
179, 174
180, 250
181, 193
182, 202
183, 197
184, 222
185, 199
186, 222
187, 201
188, 196
189, 189
190, 183
191, 173
192, 200
193, 193
194, 200
195, 160
196, 189
197, 184
198, 198
199, 167
200, 189
201, 207
202, 176
203, 175
204, 208
205, 205
206, 179
207, 162
208, 163
209, 194
210, 165
211, 171
212, 174
213, 161
214, 165
215, 179
216, 201
217, 183
218, 189
219, 193
220, 201
221, 201
222, 213
223, 183
224, 179
225, 182
226, 184
227, 199
228, 184
229, 173
230, 209
231, 206
232, 223
233, 213
234, 193
235, 207
236, 211
237, 196
238, 196
239, 194
240, 200
241, 185
242, 172
243, 169
244, 220
245, 180
246, 194
247, 188
248, 194
249, 190
250, 230
251, 170
252, 164
253, 197
254, 163
255, 188
