Value, Frequency
90, 49187
128, 260
180, 250
35, 246
80, 241
116, 236
32, 236
135, 235
154, 231
250, 230
93, 228
156, 225
59, 224
232, 223
77, 223
26, 223
103, 223
186, 222
82, 222
184, 222
244, 220
55, 220
97, 219
107, 218
174, 218
23, 217
45, 217
99, 217
61, 217
75, 217
141, 216
109, 216
126, 215
84, 214
89, 214
157, 214
222, 213
159, 213
233, 213
87, 212
131, 212
236, 211
172, 211
51, 210
85, 209
158, 209
230, 209
78, 209
204, 208
91, 208
155, 208
65, 208
201, 207
30, 207
235, 207
101, 206
231, 206
105, 206
3, 205
53, 205
139, 205
73, 205
205, 205
37, 203
67, 203
16, 203
27, 202
182, 202
104, 202
216, 201
220, 201
121, 201
221, 201
187, 201
194, 200
192, 200
58, 200
240, 200
227, 199
185, 199
39, 198
123, 198
198, 198
118, 198
34, 198
146, 198
71, 197
81, 197
110, 197
253, 197
183, 197
92, 197
238, 196
142, 196
94, 196
7, 196
1, 196
188, 196
127, 196
237, 196
29, 195
33, 195
169, 195
125, 195
43, 195
11, 195
106, 195
129, 195
209, 194
239, 194
246, 194
9, 194
79, 194
248, 194
15, 194
143, 193
219, 193
140, 193
96, 193
17, 193
181, 193
193, 193
234, 193
178, 192
14, 192
144, 192
19, 192
47, 192
150, 192
177, 191
249, 190
38, 190
134, 190
200, 189
189, 189
196, 189
113, 189
218, 189
119, 189
165, 189
112, 189
69, 188
25, 188
255, 188
111, 188
247, 188
0, 187
173, 187
74, 187
13, 187
52, 187
100, 186
241, 185
21, 185
56, 185
28, 184
197, 184
226, 184
124, 184
160, 184
228, 184
83, 184
50, 183
63, 183
190, 183
41, 183
166, 183
152, 183
217, 183
223, 183
171, 182
95, 182
225, 182
148, 182
54, 182
138, 182
102, 182
151, 182
2, 181
115, 181
130, 181
245, 180
163, 180
76, 180
224, 179
206, 179
215, 179
57, 179
175, 178
24, 178
132, 177
147, 177
168, 177
44, 177
22, 176
164, 176
10, 176
202, 176
12, 175
203, 175
48, 174
176, 174
212, 174
179, 174
88, 174
191, 173
229, 173
170, 173
242, 172
36, 171
98, 171
211, 171
122, 171
149, 170
133, 170
108, 170
70, 170
153, 170
86, 170
251, 170
5, 170
243, 169
49, 169
6, 169
120, 169
137, 169
136, 168
62, 168
199, 167
72, 167
161, 167
46, 167
162, 166
210, 165
40, 165
60, 165
214, 165
252, 164
254, 163
208, 163
207, 162
167, 162
66, 162
213, 161
64, 161
68, 161
31, 161
195, 160
4, 160
20, 159
18, 158
117, 158
42, 153
145, 153
8, 151
114, 146
